"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年5月2日","1,801.57","1,814.63","1,833.27","1,788.01","1.59B","-0.22%"
"2018年4月27日","1,805.60","1,790.30","1,813.57","1,779.17","1.70B","1.37%"
"2018年4月26日","1,781.28","1,818.69","1,819.43","1,780.62","1.57B","-2.10%"
"2018年4月25日","1,819.41","1,798.00","1,825.23","1,795.79","1.76B","0.69%"
"2018年4月24日","1,806.86","1,753.64","1,806.90","1,749.18","1.92B","3.07%"
"2018年4月23日","1,753.05","1,784.15","1,794.68","1,729.90","1.92B","-1.67%"
"2018年4月20日","1,782.81","1,813.75","1,830.73","1,781.21","2.05B","-2.06%"
"2018年4月19日","1,820.28","1,815.45","1,839.13","1,812.93","1.89B","-0.11%"
"2018年4月18日","1,822.26","1,793.83","1,832.99","1,757.39","2.29B","2.16%"
"2018年4月17日","1,783.74","1,843.75","1,849.69","1,783.74","2.01B","-2.99%"
"2018年4月16日","1,838.71","1,818.25","1,852.08","1,816.32","1.91B","0.77%"
"2018年4月13日","1,824.59","1,840.87","1,848.92","1,822.66","1.41B","-0.13%"
"2018年4月12日","1,826.89","1,830.91","1,848.63","1,826.69","1.38B","-0.42%"
"2018年4月11日","1,834.63","1,840.09","1,857.92","1,832.42","1.70B","-0.05%"
"2018年4月10日","1,835.52","1,838.88","1,842.22","1,811.35","1.91B","-0.33%"
"2018年4月9日","1,841.65","1,830.88","1,862.97","1,819.09","1.76B","0.26%"
"2018年4月4日","1,836.81","1,880.33","1,887.11","1,834.67","1.87B","-1.90%"
"2018年4月3日","1,872.47","1,869.87","1,886.97","1,850.01","2.10B","-1.46%"
"2018年4月2日","1,900.25","1,911.57","1,918.22","1,891.96","2.54B","-0.01%"
"2018年3月30日","1,900.48","1,850.20","1,900.96","1,849.25","2.62B","3.16%"
"2018年3月29日","1,842.19","1,843.44","1,857.32","1,825.97","2.05B","0.38%"
"2018年3月28日","1,835.15","1,819.66","1,856.88","1,816.44","2.44B","-0.52%"
"2018年3月27日","1,844.69","1,799.15","1,846.54","1,797.09","2.70B","3.60%"
"2018年3月26日","1,780.61","1,704.35","1,781.84","1,693.73","2.15B","3.16%"
"2018年3月23日","1,726.02","1,751.74","1,792.23","1,710.40","2.69B","-5.02%"
"2018年3月22日","1,817.23","1,830.56","1,841.40","1,814.69","1.80B","-0.69%"
"2018年3月21日","1,829.91","1,866.81","1,877.13","1,829.91","2.06B","-1.86%"
"2018年3月20日","1,864.62","1,828.01","1,867.46","1,825.67","1.77B","1.18%"
"2018年3月19日","1,842.92","1,822.60","1,860.20","1,818.62","1.92B","1.19%"
"2018年3月16日","1,821.32","1,847.18","1,857.15","1,821.32","1.78B","-1.48%"
"2018年3月15日","1,848.71","1,833.77","1,848.72","1,812.48","1.81B","0.40%"
"2018年3月14日","1,841.29","1,863.57","1,874.15","1,840.35","1.77B","-1.68%"
"2018年3月13日","1,872.68","1,879.63","1,896.50","1,863.16","2.20B","-0.52%"
"2018年3月12日","1,882.41","1,872.03","1,901.15","1,872.03","2.79B","1.40%"
"2018年3月9日","1,856.46","1,794.25","1,858.03","1,793.92","2.80B","3.53%"
"2018年3月8日","1,793.22","1,783.10","1,795.82","1,781.46","1.39B","0.45%"
"2018年3月7日","1,785.27","1,795.17","1,800.45","1,780.30","1.58B","-0.69%"
"2018年3月6日","1,797.61","1,798.03","1,810.26","1,790.54","1.95B","0.11%"
"2018年3月5日","1,795.69","1,780.82","1,795.69","1,768.88","1.67B","1.34%"
"2018年3月2日","1,772.01","1,777.46","1,804.25","1,767.90","2.07B","-1.00%"
"2018年3月1日","1,789.85","1,744.34","1,789.85","1,741.03","2.32B","2.07%"
"2018年2月28日","1,753.63","1,730.15","1,773.73","1,723.39","2.16B","0.58%"
"2018年2月27日","1,743.54","1,729.94","1,757.37","1,728.31","2.28B","0.83%"
"2018年2月26日","1,729.15","1,683.15","1,733.71","1,673.95","1.99B","3.61%"
"2018年2月23日","1,668.83","1,674.62","1,681.24","1,656.95","1.25B","-0.53%"
"2018年2月22日","1,677.76","1,661.56","1,679.79","1,650.88","1.40B","1.88%"
